Q006,Q024,Q003,Q001,Q004,Q002,Q008,Q010,Q018,Q019,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,cluster
4,0,1,3,3,5,2,1,0,0,545.0,460.5,551.8,527.3,720.0,2
1,0,5,1,0,4,2,1,0,1,435.0,534.3,445.8,489.5,460.0,0
6,1,3,5,1,3,2,1,0,1,554.2,571.2,580.0,629.5,620.0,2
0,0,0,2,1,2,1,0,0,1,463.3,502.0,409.9,555.5,380.0,0
3,1,3,2,1,5,1,0,1,1,610.0,582.8,618.6,714.5,700.0,2
1,1,1,1,1,1,1,0,0,1,512.9,619.2,556.4,642.2,820.0,0
14,4,4,6,3,6,3,1,1,4,665.9,681.7,580.6,688.7,720.0,1
2,0,1,1,1,4,1,1,0,1,379.7,370.0,439.1,347.8,420.0,0
1,0,5,7,3,3,1,0,0,0,526.8,542.3,527.8,479.9,760.0,0
11,1,4,6,4,6,3,2,1,1,693.7,597.8,612.7,671.3,900.0,1
1,0,0,1,0,3,1,0,0,1,447.8,446.6,470.7,501.6,580.0,0
2,0,5,7,1,4,1,0,0,1,480.2,354.2,431.6,378.2,880.0,0
9,2,3,6,1,5,2,1,0,3,557.5,567.4,464.1,774.8,600.0,2
1,0,1,1,1,1,1,0,0,1,518.8,583.6,509.1,378.3,360.0,0
0,0,5,7,0,3,1,0,0,0,403.5,411.0,438.8,420.1,800.0,0
7,1,3,3,3,4,3,2,1,2,518.0,493.1,552.4,550.4,800.0,1
11,2,3,4,3,5,4,1,1,4,545.0,647.8,636.0,638.5,680.0,1
1,0,5,7,1,4,1,0,0,1,561.2,587.9,588.1,479.3,620.0,0
9,3,4,6,3,6,4,1,1,3,616.5,579.2,598.7,647.6,880.0,1
3,1,2,5,1,4,1,0,0,0,610.4,567.3,575.4,687.7,580.0,2
6,0,5,6,5,5,1,1,0,1,586.4,681.3,598.7,656.0,840.0,2
1,0,5,7,1,3,1,0,0,1,399.4,311.2,387.1,405.9,260.0,0
3,1,0,1,0,1,1,0,0,1,517.6,602.9,547.2,463.9,560.0,0
0,0,2,0,1,4,1,0,0,1,439.7,475.4,451.6,403.5,0.0,0
1,0,0,4,0,4,1,0,0,2,473.5,488.2,473.4,441.6,540.0,0
12,1,4,5,4,5,3,2,1,2,643.7,613.0,540.1,647.0,760.0,1
3,0,0,4,0,4,1,0,0,1,610.6,609.9,550.5,579.3,800.0,0
16,4,4,7,3,5,4,3,1,1,584.2,553.2,549.6,736.8,760.0,1
6,0,2,4,1,4,1,1,0,1,516.4,555.2,592.3,623.4,480.0,2
4,0,1,4,2,4,1,0,1,1,397.0,541.7,524.5,501.4,480.0,2
7,1,1,3,3,6,2,2,1,2,341.6,326.2,338.4,519.5,0.0,2
2,0,3,5,2,4,1,1,0,1,455.5,451.4,503.0,486.4,620.0,2
1,0,1,4,1,5,1,0,0,1,594.9,658.7,600.1,641.4,700.0,2
4,1,2,2,1,2,2,1,0,2,516.6,679.9,643.8,622.2,680.0,2
7,0,2,4,3,6,1,1,0,1,458.5,488.0,477.8,423.2,720.0,2
3,0,1,4,1,3,1,1,0,2,461.4,413.3,293.0,470.1,400.0,0
0,0,5,7,0,3,1,0,0,1,489.5,431.9,414.1,364.7,540.0,0
1,0,2,1,2,4,1,0,0,1,518.1,472.8,419.8,445.3,440.0,0
1,0,5,7,1,4,2,0,0,1,499.3,341.7,398.9,346.6,0.0,0
10,2,3,5,3,5,4,3,0,4,516.3,547.8,531.9,541.3,820.0,1
6,1,3,1,3,4,2,2,1,2,552.7,583.1,574.1,671.1,840.0,2
6,2,4,6,4,5,4,1,0,4,579.2,575.1,646.3,698.7,660.0,1
1,0,2,2,3,4,1,1,0,1,400.1,359.0,493.6,423.3,760.0,2
0,0,2,7,1,3,1,0,0,1,562.5,654.2,592.6,655.8,560.0,2
1,0,0,2,0,2,1,0,0,1,427.6,553.4,494.8,395.6,840.0,0
2,0,2,4,1,4,1,0,0,1,403.3,470.3,416.5,341.7,420.0,0
